Tue Aug 25 20:13:47 2026    /workspace/jaseci_external_tools/littlex5/profiles/policy_markov1-pooled-N5/limit_5000/load_feed/trial_13/jac_server.prof

         15834734 function calls (15179287 primitive calls) in 19.679 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    40808    0.045    0.000   29.373    0.001 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:127(run_typed)
    10001    0.045    0.000   11.479    0.001 /workspace/jaseci/jac/jaclang/runtimelib/impl/memory.impl.jac:388(execute_plan)
    20404    0.023    0.000    9.251    0.000 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:166(_sv_node_desc)
       26    0.000    0.000    9.212    0.354 /usr/local/lib/python3.14t/site-packages/pymongo/periodic_executor.py:226(_should_stop)
        1    0.000    0.000    9.212    9.212 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/monitor.py:252(_check_server)
        1    0.000    0.000    9.212    9.212 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/monitor.py:291(_check_once)
        2    9.192    4.596    9.192    4.596 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/topology.py:556(on_change)
  134/133    0.000    0.000    9.125    0.069 {built-in method now}
    10203    0.008    0.000    8.966    0.001 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:130(call)
    10203    0.029    0.000    8.243    0.001 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:1158(refs)
    10203    0.051    0.000    8.135    0.001 /workspace/jaseci/jac/jaclang/runtimelib/impl/planner.impl.jac:212(execute_path)
    61212    0.034    0.000    7.760    0.000 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:158(_sv_tag_of)
    81618    0.030    0.000    7.703    0.000 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:121(_unwrap)
        1    0.000    0.000    7.437    7.437 /workspace/jaseci_external_tools/littlex5/server.jac:245(collect)
15154/13438    0.018    0.000    5.572    0.000 /usr/local/lib/python3.14t/site-packages/redis/commands/core.py:2683(setex)
    10155    0.051    0.000    5.275    0.001 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.redis.impl.jac:62(put)
 4999/619    0.009    0.000    4.959    0.008 /usr/local/lib/python3.14t/site-packages/redis/client.py:1867(parse_response)
    10205    0.018    0.000    4.389    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:717(execute_command)
    10205    0.064    0.000    4.364    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:720(_execute_command)
15204/10689    0.037    0.000    3.258    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:775(parse_response)
20418/20254    0.017    0.000    3.074    0.000 /usr/local/lib/python3.14t/site-packages/redis/retry.py:101(call_with_retry)
15212/11238    0.027    0.000    2.745    0.000 /usr/local/lib/python3.14t/site-packages/redis/connection.py:1328(read_response)
    10205    0.017    0.000    2.681    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:739(<lambda>)
    40912    0.027    0.000    2.571    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:86(serialize)
    10205    0.020    0.000    2.352    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:679(_send_command_parse_response)
15212/11882    0.022    0.000    2.307    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/resp2.py:12(read_response)
