Tue Aug 25 21:34:41 2026    /workspace/jaseci_external_tools/littlex5/profiles/policy_none/limit_0/load_feed/trial_7/jac_server.prof

         15066341 function calls (14615036 primitive calls) in 9.913 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    30757    0.067    0.000   29.613    0.001 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:135(_compute_hash)
    92012    0.125    0.000   18.959    0.000 /usr/local/lib/python3.14t/json/__init__.py:185(dumps)
    41008    0.020    0.000   11.216    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:86(serialize)
      2/1    0.000    0.000    9.954    9.954 /workspace/jaseci/jac/jaclang/runtimelib/server.jac:495(_jac_walker_execute)
  51042/1    0.088    0.000    9.954    9.954 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:2211(proxy)
  51041/1    0.031    0.000    9.954    9.954 /workspace/jaseci/jac/jaclang/jac0core/plugin.jac:89(__call__)
  51041/1    0.043    0.000    9.954    9.954 /workspace/jaseci/jac/jaclang/jac0core/plugin.jac:84(_call_impl)
        1    0.000    0.000    9.954    9.954 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:653(spawn)
    92012    0.093    0.000    9.631    0.000 /usr/local/lib/python3.14t/json/encoder.py:185(encode)
    61409    0.330    0.000    9.371    0.000 /usr/local/lib/python3.14t/json/encoder.py:207(iterencode)
        1    0.057    0.057    8.566    8.566 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:163(_visit_recursive)
    40808    0.032    0.000    8.450    0.000 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:127(run_typed)
    10203    0.008    0.000    8.306    0.001 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:130(call)
    10203    0.028    0.000    7.679    0.001 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:1158(refs)
    10203    0.051    0.000    7.556    0.001 /workspace/jaseci/jac/jaclang/runtimelib/impl/planner.impl.jac:212(execute_path)
        1    0.000    0.000    6.772    6.772 /workspace/jaseci_external_tools/littlex5/server.jac:245(collect)
        1    0.007    0.007    6.390    6.390 /workspace/jaseci/jac/jaclang/runtimelib/planner.jac:138(_execute_pushdown)
    10001    0.038    0.000    6.379    0.001 /workspace/jaseci/jac/jaclang/runtimelib/impl/memory.impl.jac:388(execute_plan)
    10251    0.051    0.000    3.992    0.000 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.redis.impl.jac:62(put)
    10303    0.018    0.000    3.104    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:717(execute_command)
    10251    0.010    0.000    3.099    0.000 /usr/local/lib/python3.14t/site-packages/redis/commands/core.py:2683(setex)
    10303    0.063    0.000    3.086    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:720(_execute_command)
378039/92011    0.530    0.000    2.637    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:107(_serialize_value)
    20606    0.016    0.000    2.436    0.000 /usr/local/lib/python3.14t/site-packages/redis/retry.py:101(call_with_retry)
    10303    0.017    0.000    2.407    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:739(<lambda>)
    10303    0.020    0.000    2.390    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:679(_send_command_parse_response)
    10001    0.022    0.000    2.315    0.000 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:141(execute_plan)
    10201    0.038    0.000    2.106    0.000 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:161(_load_anchor)
    10303    0.026    0.000    1.951    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:775(parse_response)
    10303    0.017    0.000    1.891    0.000 /usr/local/lib/python3.14t/site-packages/redis/connection.py:1328(read_response)
    20606    0.063    0.000    1.866    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/socket.py:48(_read_from_socket)
    10303    0.013    0.000    1.862    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/resp2.py:12(read_response)
10504/10303    0.016    0.000    1.817    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/resp2.py:24(_read_response)
    10504    0.022    0.000    1.799    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/socket.py:111(readline)
    20606    1.765    0.000    1.765    0.000 {method 'recv' of '_socket.socket' objects}
    10251    0.022    0.000    1.648    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:103(deserialize)
    10251    0.119    0.000    1.620    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:128(_deserialize_anchor)
    10200    0.009    0.000    1.449    0.000 /workspace/jaseci_external_tools/littlex5/server.jac:253(gather)
    10200    0.051    0.000    1.437    0.000 /workspace/jaseci_external_tools/littlex5/server.jac:99(to_view)
    41008    0.462    0.000    1.259    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:116(_serialize_attrs)
   175423    0.128    0.000    0.786    0.000 /usr/local/lib/python3.14t/uuid.py:331(__str__)
