Tue Aug 25 18:35:03 2026    /workspace/jaseci_external_tools/littlex5/profiles/policy_oracle/limit_5000/load_feed/trial_30/jac_server.prof

         13487654 function calls (12898853 primitive calls) in 8.248 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    61212    0.058    0.000   12.855    0.000 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:158(_sv_tag_of)
    10001    0.039    0.000    9.406    0.001 /workspace/jaseci/jac/jaclang/runtimelib/impl/memory.impl.jac:388(execute_plan)
      2/1    0.000    0.000    8.291    8.291 /workspace/jaseci/jac/jaclang/runtimelib/server.jac:495(_jac_walker_execute)
  51043/1    0.091    0.000    8.291    8.291 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:2211(proxy)
  51042/1    0.031    0.000    8.291    8.291 /workspace/jaseci/jac/jaclang/jac0core/plugin.jac:89(__call__)
  51042/1    0.041    0.000    8.288    8.288 /workspace/jaseci/jac/jaclang/jac0core/plugin.jac:84(_call_impl)
      2/1    0.001    0.000    8.246    8.246 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:653(spawn)
        1    0.000    0.000    8.243    8.243 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:548(spawn_call)
    40808    0.033    0.000    6.866    0.000 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:127(run_typed)
    10203    0.009    0.000    6.717    0.001 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:130(call)
    10203    0.031    0.000    5.977    0.001 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:1158(refs)
        1    0.000    0.000    5.157    5.157 /workspace/jaseci_external_tools/littlex5/server.jac:245(collect)
85613/82971    0.157    0.000    3.339    0.000 /usr/local/lib/python3.14t/uuid.py:178(__init__)
10733/10731    0.008    0.000    3.272    0.000 {built-in method time.monotonic}
5000/1031    0.010    0.000    2.302    0.002 /usr/local/lib/python3.14t/site-packages/redis/client.py:1867(parse_response)
10251/6388    0.025    0.000    2.246    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:775(parse_response)
    30757    0.066    0.000    2.190    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:135(_compute_hash)
     5251    0.026    0.000    2.112    0.000 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.redis.impl.jac:62(put)
10251/9230    0.013    0.000    2.110    0.000 /usr/local/lib/python3.14t/site-packages/redis/commands/core.py:2683(setex)
10510/10504    0.008    0.000    1.928    0.000 /usr/local/lib/python3.14t/site-packages/redis/retry.py:101(call_with_retry)
    36008    0.018    0.000    1.879    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:86(serialize)
313543/62263    0.461    0.000    1.874    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:107(_serialize_value)
277681/275385    0.056    0.000    1.697    0.000 {method 'append' of 'list' objects}
    10251    0.021    0.000    1.672    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:103(deserialize)
     5251    0.009    0.000    1.640    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:717(execute_command)
     5251    0.033    0.000    1.631    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:720(_execute_command)
    10251    0.117    0.000    1.611    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:128(_deserialize_anchor)
        1    0.000    0.000    1.605    1.605 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:214(osp_spawn)
    10200    0.009    0.000    1.490    0.000 /workspace/jaseci_external_tools/littlex5/server.jac:253(gather)
    10200    0.059    0.000    1.479    0.000 /workspace/jaseci_external_tools/littlex5/server.jac:99(to_view)
    20453    0.078    0.000    1.286    0.000 /workspace/jaseci/jac/jaclang/runtimelib/memory.jac:107(_tiered_access_log)
        8    0.000    0.000    1.267    0.158 /usr/local/lib/python3.14t/site-packages/redis/client.py:1609(reset)
10257/7551    0.019    0.000    1.249    0.000 /usr/local/lib/python3.14t/site-packages/redis/connection.py:1328(read_response)
     5251    0.009    0.000    1.237    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:739(<lambda>)
     5251    0.010    0.000    1.228    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:679(_send_command_parse_response)
     5252    0.012    0.000    1.212    0.000 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:141(execute_plan)
10257/8285    0.016    0.000    1.208    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/resp2.py:12(read_response)
67266/64484    0.105    0.000    1.151    0.000 /usr/local/lib/python3.14t/json/__init__.py:185(dumps)
     5251    0.020    0.000    1.099    0.000 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:161(_load_anchor)
    36008    0.406    0.000    1.096    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:116(_serialize_attrs)
        1    0.000    0.000    1.095    1.095 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:176(_sv_on_complete)
        1    0.007    0.007    1.095    1.095 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.main.impl.jac:201(commit)
10257/9410    0.015    0.000    0.997    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/resp2.py:24(_read_response)
    10520    0.033    0.000    0.957    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/socket.py:48(_read_from_socket)
10257/9882    0.018    0.000    0.939    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/socket.py:111(readline)
    10520    0.904    0.000    0.904    0.000 {method 'recv' of '_socket.socket' objects}
        1    0.000    0.000    0.870    0.870 /workspace/jaseci/jac/jaclang/runtimelib/impl/planner.impl.jac:232(plan_chain)
        1    0.001    0.001    0.870    0.870 /workspace/jaseci/jac/jaclang/runtimelib/impl/topology_index.impl.jac:82(resolve_chain_cross_root)
    10253    0.006    0.000    0.858    0.000 /workspace/jaseci/jac/jaclang/jac0core/archetype.jac:184(get_topology_index)
    10259    0.018    0.000    0.853    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/memory.impl.jac:385(promote_raw)
       51    0.075    0.001    0.850    0.017 /workspace/jaseci/jac/jaclang/runtimelib/impl/topology_index.impl.jac:99(decode)
10251/9554    0.015    0.000    0.762    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:100(__contains__)
    10203    0.052    0.000    0.726    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/planner.impl.jac:212(execute_path)
     5255    0.027    0.000    0.715    0.000 /usr/local/lib/python3.14t/site-packages/redis/connection.py:3109(release)
10251/9705    0.011    0.000    0.696    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:106(__getitem__)
67266/64738    0.080    0.000    0.637    0.000 /usr/local/lib/python3.14t/json/encoder.py:185(encode)
      9/1    0.000    0.000    0.636    0.636 /usr/local/lib/python3.14t/threading.py:1030(_bootstrap)
      9/1    0.000    0.000    0.636    0.636 /usr/local/lib/python3.14t/threading.py:1065(_bootstrap_inner)
      9/1    0.000    0.000    0.636    0.636 {method 'run' of '_contextvars.Context' objects}
      4/1    0.000    0.000    0.635    0.635 /usr/local/lib/python3.14t/site-packages/redis/client.py:1924(execute)
        1    0.010    0.010    0.613    0.613 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:144(sync)
180314/163783    0.058    0.000    0.586    0.000 /usr/local/lib/python3.14t/uuid.py:319(__hash__)
