Tue Aug 25 19:31:27 2026    /workspace/jaseci_external_tools/littlex5/profiles/policy_ttg/limit_5000/load_feed/trial_19/jac_server.prof

         13633681 function calls (13012457 primitive calls) in 8.408 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10203    0.031    0.000   12.331    0.001 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:130(call)
      2/1    0.000    0.000    8.453    8.453 /workspace/jaseci/jac/jaclang/runtimelib/server.jac:495(_jac_walker_execute)
  51053/1    0.092    0.000    8.453    8.453 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:2211(proxy)
  51052/1    0.033    0.000    8.453    8.453 /workspace/jaseci/jac/jaclang/jac0core/plugin.jac:89(__call__)
  51052/1    0.042    0.000    8.450    8.450 /workspace/jaseci/jac/jaclang/jac0core/plugin.jac:84(_call_impl)
      2/1    0.000    0.000    8.447    8.447 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:653(spawn)
        1    0.000    0.000    8.233    8.233 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:548(spawn_call)
        1    0.001    0.001    8.233    8.233 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:214(osp_spawn)
    10001    0.038    0.000    8.207    0.001 /workspace/jaseci/jac/jaclang/runtimelib/impl/memory.impl.jac:388(execute_plan)
    40808    0.033    0.000    6.629    0.000 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:127(run_typed)
    10203    0.052    0.000    5.746    0.001 /workspace/jaseci/jac/jaclang/runtimelib/impl/planner.impl.jac:212(execute_path)
    10203    0.029    0.000    5.736    0.001 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:1158(refs)
        1    0.000    0.000    4.920    4.920 /workspace/jaseci_external_tools/littlex5/server.jac:245(collect)
        1    0.007    0.007    4.083    4.083 /workspace/jaseci/jac/jaclang/runtimelib/planner.jac:138(_execute_pushdown)
    10280    0.017    0.000    3.906    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/memory.impl.jac:385(promote_raw)
    30757    0.074    0.000    3.557    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:135(_compute_hash)
    10251    0.020    0.000    2.896    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:103(deserialize)
    10251    0.111    0.000    2.823    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:128(_deserialize_anchor)
    20453    0.075    0.000    2.393    0.000 /workspace/jaseci/jac/jaclang/runtimelib/memory.jac:107(_tiered_access_log)
    36059    0.019    0.000    2.309    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:86(serialize)
     5302    0.026    0.000    2.091    0.000 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.redis.impl.jac:62(put)
10302/8271    0.012    0.000    2.023    0.000 /usr/local/lib/python3.14t/site-packages/redis/commands/core.py:2683(setex)
314202/62567    0.461    0.000    1.909    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:107(_serialize_value)
10303/6177    0.025    0.000    1.759    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:775(parse_response)
42072/40744    0.014    0.000    1.719    0.000 {method '__enter__' of '_thread.lock' objects}
     5303    0.009    0.000    1.610    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:717(execute_command)
     5303    0.034    0.000    1.601    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:720(_execute_command)
67580/63245    0.109    0.000    1.599    0.000 /usr/local/lib/python3.14t/json/__init__.py:185(dumps)
10309/6761    0.020    0.000    1.488    0.000 /usr/local/lib/python3.14t/site-packages/redis/connection.py:1328(read_response)
    10200    0.011    0.000    1.486    0.000 /workspace/jaseci_external_tools/littlex5/server.jac:253(gather)
    10200    0.057    0.000    1.473    0.000 /workspace/jaseci_external_tools/littlex5/server.jac:99(to_view)
10714/10708    0.009    0.000    1.293    0.000 /usr/local/lib/python3.14t/site-packages/redis/retry.py:101(call_with_retry)
 5000/849    0.010    0.000    1.250    0.001 /usr/local/lib/python3.14t/site-packages/redis/client.py:1867(parse_response)
     5303    0.009    0.000    1.243    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:739(<lambda>)
     5303    0.010    0.000    1.233    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:679(_send_command_parse_response)
     5302    0.012    0.000    1.225    0.000 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:141(execute_plan)
537425/537363    0.123    0.000    1.131    0.000 {method 'get' of 'dict' objects}
    36059    0.420    0.000    1.126    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:116(_serialize_attrs)
     5302    0.020    0.000    1.115    0.000 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:161(_load_anchor)
10309/7406    0.016    0.000    1.069    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/resp2.py:12(read_response)
10310/8868    0.017    0.000    0.991    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/resp2.py:24(_read_response)
    10726    0.037    0.000    0.972    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/socket.py:48(_read_from_socket)
10310/9665    0.019    0.000    0.964    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/socket.py:111(readline)
2603053/2548299    0.407    0.000    0.920    0.000 {built-in method builtins.isinstance}
        1    0.036    0.036    0.919    0.919 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:163(_visit_recursive)
    10726    0.905    0.000    0.909    0.000 {method 'recv' of '_socket.socket' objects}
80612/76867    0.150    0.000    0.860    0.000 /usr/local/lib/python3.14t/uuid.py:178(__init__)
    59/51    0.000    0.000    0.752    0.015 /usr/local/lib/python3.14t/threading.py:1030(_bootstrap)
    59/51    0.000    0.000    0.747    0.015 /usr/local/lib/python3.14t/threading.py:1065(_bootstrap_inner)
5000/2391    0.011    0.000    0.685    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/memory.impl.jac:384(store_raw)
        1    0.000    0.000    0.668    0.668 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:176(_sv_on_complete)
    10538    0.011    0.000    0.512    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:127(_id_to_stub)
    11348    0.003    0.000    0.510    0.000 {built-in method time.monotonic}
139601/137286    0.035    0.000    0.493    0.000 {method 'replace' of 'str' objects}
155529/149463    0.116    0.000    0.479    0.000 /usr/local/lib/python3.14t/uuid.py:331(__str__)
41234/29409    0.065    0.000    0.459    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/encoders.py:14(encode)
10303/9247    0.015    0.000    0.458    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:100(__contains__)
546544/546531    0.085    0.000    0.448    0.000 {built-in method builtins.getattr}
67580/63495    0.080    0.000    0.437    0.000 /usr/local/lib/python3.14t/json/encoder.py:185(encode)
    20789    0.010    0.000    0.436    0.000 /workspace/jaseci/jac/jaclang/runtimelib/serializer.jac:560(<genexpr>)
10358/8439    0.009    0.000    0.426    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/cursor.py:1165(__next__)
51810/51616    0.021    0.000    0.398    0.000 {method 'pop' of 'dict' objects}
15666/15108    0.012    0.000    0.392    0.000 /usr/local/lib/python3.14t/site-packages/redis/connection.py:1521(_host_error)
