Wed Sep  2 04:07:51 2026    /workspace/jaseci_external_tools/littlex5/profiles/policy_oracle/limit_0/load_feed/trial_2/jac_server.prof

         19120249 function calls (18872545 primitive calls) in 9.887 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    9.966    9.966 /opt/jac/cache/jac/rt/3138c47007efd52b-3c44ece936532069/site/jaclang/runtime/runtime.jac:714(spawn)
        1    0.000    0.000    9.966    9.966 /opt/jac/cache/jac/rt/3138c47007efd52b-3c44ece936532069/site/jaclang/runtime/runtime.jac:599(spawn_call)
        1    0.000    0.000    6.738    6.738 /opt/jac/cache/jac/rt/3138c47007efd52b-3c44ece936532069/site/jaclang/runtime/osp_kernel.jac:159(osp_spawn)
        1    0.071    0.071    5.858    5.858 /opt/jac/cache/jac/rt/3138c47007efd52b-3c44ece936532069/site/jaclang/runtime/osp_kernel.jac:112(_visit_recursive)
    40808    0.034    0.000    5.681    0.000 /opt/jac/cache/jac/rt/3138c47007efd52b-3c44ece936532069/site/jaclang/runtime/osp_kernel.jac:84(run_typed)
    10203    0.008    0.000    5.505    0.001 /opt/jac/cache/jac/rt/3138c47007efd52b-3c44ece936532069/site/jaclang/runtime/osp_kernel_sv.jac:66(call)
    10203    0.046    0.000    5.232    0.001 /opt/jac/cache/jac/rt/3138c47007efd52b-3c44ece936532069/site/jaclang/runtime/runtime.jac:461(refs)
    10203    0.011    0.000    5.118    0.001 /opt/jac/cache/jac/rt/3138c47007efd52b-3c44ece936532069/site/jaclang/runtime/runtime.jac:483(_run)
    10203    0.041    0.000    5.090    0.000 /src/jaseci/jac/.zig-cache/o/506a2a4c90233bb49ac2d1fd22245680/payload.tar.zst.work/site/jaclang/data/impl/query_planner.impl.jac:37(resolve_query)
        1    0.000    0.000    4.115    4.115 /tmp/jaseci_littlex5_sweep/server.jac:245(collect)
    10203    0.032    0.000    3.926    0.000 /opt/jac/cache/jac/rt/3138c47007efd52b-3c44ece936532069/site/jaclang/data/query_planner.jac:366(_materialize_ids)
    10203    0.060    0.000    3.853    0.000 /src/jaseci/jac/.zig-cache/o/506a2a4c90233bb49ac2d1fd22245680/payload.tar.zst.work/site/jaclang/server/impl/session.impl.jac:181(batch_get)
    10251    0.016    0.000    3.438    0.000 /src/jaseci/jac/.zig-cache/o/506a2a4c90233bb49ac2d1fd22245680/payload.tar.zst.work/site/jaclang/server/impl/session.impl.jac:179(promote_raw)
    10251    0.088    0.000    3.399    0.000 /src/jaseci/jac/.zig-cache/o/506a2a4c90233bb49ac2d1fd22245680/payload.tar.zst.work/site/jaclang/server/impl/session.impl.jac:218(_materialize)
        1    0.000    0.000    3.228    3.228 /opt/jac/cache/jac/rt/3138c47007efd52b-3c44ece936532069/site/jaclang/runtime/prefetch.jac:153(run_prefetch_policy)
        1    0.000    0.000    2.339    2.339 /opt/jac/cache/jac/rt/3138c47007efd52b-3c44ece936532069/site/jaclang/runtime/prefetch_policy.jac:36(get_prefetch_plan)
        1    0.014    0.014    2.339    2.339 /opt/jac/cache/jac/rt/3138c47007efd52b-3c44ece936532069/site/jaclang/runtime/prefetch_policy_oracle.jac:214(oracle_policy_plan)
    30754    0.017    0.000    2.321    0.000 /src/jaseci/jac/.zig-cache/o/506a2a4c90233bb49ac2d1fd22245680/payload.tar.zst.work/site/jaclang/data/impl/serializer.impl.jac:65(serialize)
    10251    0.021    0.000    2.307    0.000 /src/jaseci/jac/.zig-cache/o/506a2a4c90233bb49ac2d1fd22245680/payload.tar.zst.work/site/jaclang/data/impl/serializer.impl.jac:72(deserialize)
276025/30754    0.480    0.000    2.304    0.000 /src/jaseci/jac/.zig-cache/o/506a2a4c90233bb49ac2d1fd22245680/payload.tar.zst.work/site/jaclang/data/impl/serializer.impl.jac:73(_serialize_value)
    10251    0.120    0.000    2.279    0.000 /src/jaseci/jac/.zig-cache/o/506a2a4c90233bb49ac2d1fd22245680/payload.tar.zst.work/site/jaclang/data/impl/serializer.impl.jac:108(_deserialize_anchor)
        1    0.000    0.000    2.253    2.253 /opt/jac/cache/jac/rt/3138c47007efd52b-3c44ece936532069/site/jaclang/runtime/prefetch_policy_oracle.jac:195(_warm_oracle_topology)
        3    0.000    0.000    1.904    0.635 /src/jaseci/jac/.zig-cache/o/506a2a4c90233bb49ac2d1fd22245680/payload.tar.zst.work/site/jaclang/data/impl/store.impl.jac:171(_run)
        4    0.289    0.072    1.892    0.473 /src/jaseci/jac/.zig-cache/o/506a2a4c90233bb49ac2d1fd22245680/payload.tar.zst.work/site/jaclang/data/impl/pgwire.impl.jac:45(run)
    20503    0.067    0.000    1.713    0.000 /opt/jac/cache/jac/rt/3138c47007efd52b-3c44ece936532069/site/jaclang/server/session.jac:337(_persist_hash)
    30754    0.665    0.000    1.515    0.000 /src/jaseci/jac/.zig-cache/o/506a2a4c90233bb49ac2d1fd22245680/payload.tar.zst.work/site/jaclang/data/impl/serializer.impl.jac:84(_serialize_attrs)
        1    0.003    0.003    1.454    1.454 /opt/jac/cache/jac/rt/3138c47007efd52b-3c44ece936532069/site/jaclang/runtime/prefetch_policy_oracle.jac:80(_oracle_topology_rows)
        1    0.002    0.002    1.438    1.438 /src/jaseci/jac/.zig-cache/o/506a2a4c90233bb49ac2d1fd22245680/payload.tar.zst.work/site/jaclang/data/impl/store.impl.jac:157(rows)
    30970    0.029    0.000    1.357    0.000 /src/jaseci/jac/.zig-cache/o/506a2a4c90233bb49ac2d1fd22245680/payload.tar.zst.work/site/jaclang/data/impl/pgwire.impl.jac:52(_read_message)
    10200    0.008    0.000    1.323    0.000 /tmp/jaseci_littlex5_sweep/server.jac:253(gather)
    61930    0.045    0.000    1.317    0.000 /src/jaseci/jac/.zig-cache/o/506a2a4c90233bb49ac2d1fd22245680/payload.tar.zst.work/site/jaclang/data/impl/pgwire.impl.jac:53(_read_exact)
    10200    0.061    0.000    1.313    0.000 /tmp/jaseci_littlex5_sweep/server.jac:99(to_view)
    61931    1.255    0.000    1.255    0.000 {method 'recv' of '_socket.socket' objects}
    10251    0.027    0.000    1.156    0.000 /src/jaseci/jac/.zig-cache/o/506a2a4c90233bb49ac2d1fd22245680/payload.tar.zst.work/site/jaclang/data/impl/serializer.impl.jac:115(_compute_hash)
        1    0.003    0.003    0.880    0.880 /opt/jac/cache/jac/rt/3138c47007efd52b-3c44ece936532069/site/jaclang/runtime/osp_kernel_sv.jac:105(_sv_on_complete)
        1    0.002    0.002    0.878    0.878 /opt/jac/cache/jac/rt/3138c47007efd52b-3c44ece936532069/site/jaclang/runtime/prefetch.jac:95(dispatch_prefetch)
        1    0.000    0.000    0.875    0.875 /src/jaseci/jac/.zig-cache/o/506a2a4c90233bb49ac2d1fd22245680/payload.tar.zst.work/site/jaclang/server/impl/session.impl.jac:175(commit)
        1    0.000    0.000    0.874    0.874 /opt/jac/cache/jac/rt/3138c47007efd52b-3c44ece936532069/site/jaclang/runtime/prefetch.jac:87(_prefetch_worker)
        1    0.015    0.015    0.873    0.873 /src/jaseci/jac/.zig-cache/o/506a2a4c90233bb49ac2d1fd22245680/payload.tar.zst.work/site/jaclang/server/impl/session.impl.jac:180(prefetch)
        3    0.000    0.000    0.871    0.290 /src/jaseci/jac/.zig-cache/o/506a2a4c90233bb49ac2d1fd22245680/payload.tar.zst.work/site/jaclang/server/impl/session.impl.jac:209(flush)
        3    0.021    0.007    0.871    0.290 /src/jaseci/jac/.zig-cache/o/506a2a4c90233bb49ac2d1fd22245680/payload.tar.zst.work/site/jaclang/server/impl/session.impl.jac:210(_flush_locked)
        1    0.066    0.066    0.819    0.819 /src/jaseci/jac/.zig-cache/o/506a2a4c90233bb49ac2d1fd22245680/payload.tar.zst.work/site/jaclang/data/impl/store.impl.jac:151(load_full)
    10251    0.161    0.000    0.689    0.000 /src/jaseci/jac/.zig-cache/o/506a2a4c90233bb49ac2d1fd22245680/payload.tar.zst.work/site/jaclang/data/impl/serializer.impl.jac:111(_deserialize_archetype)
    10203    0.037    0.000    0.579    0.000 /opt/jac/cache/jac/rt/3138c47007efd52b-3c44ece936532069/site/jaclang/data/query_planner.jac:325(_resolve_pairs)
        1    0.053    0.053    0.456    0.456 /opt/jac/cache/jac/rt/3138c47007efd52b-3c44ece936532069/site/jaclang/runtime/prefetch_policy_oracle.jac:150(_mark_oracle_hops)
   144952    0.288    0.000    0.437    0.000 /opt/jac/cache/jac/rt/3138c47007efd52b-3c44ece936532069/python/lib/python3.14/uuid.py:178(__init__)
    10203    0.036    0.000    0.432    0.000 /opt/jac/cache/jac/rt/3138c47007efd52b-3c44ece936532069/site/jaclang/data/query_planner.jac:207(_topology_node_ids)
