policy,walker,prefetch_limit,trial,e2e_ms,request_id,train_n,trial_count,pool_seed,coverage,accuracy,actual_ids,plan_ids,covered_ids,overfetch_ids,undercoverage_ids,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,l1_hit_rate,l1,l2,l3,miss,mongo_q,oracle_file,model_file
oracle,load_feed,2500,1,3892.7080989997194,sim_user_56,,30,,,,,,,,,0.000,15.252,51.759,2425.286,62.1,12703,0,7755,0,,/home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit2500_trial1.uuids,
oracle,load_feed,2500,2,3900.2474709996022,sim_user_56,,30,,,,,,,,,0.000,15.264,49.168,2444.190,62.1,12703,0,7755,0,,/home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit2500_trial2.uuids,
oracle,load_feed,2500,3,3912.4179869995714,sim_user_56,,30,,,,,,,,,0.000,15.598,57.738,2447.754,62.1,12703,0,7755,0,,/home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit2500_trial3.uuids,
oracle,load_feed,2500,4,3919.8301609994814,sim_user_56,,30,,,,,,,,,0.000,15.291,49.544,2454.855,62.1,12703,0,7755,0,,/home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit2500_trial4.uuids,
oracle,load_feed,2500,5,3908.628219998718,sim_user_56,,30,,,,,,,,,0.000,15.227,47.934,2454.200,62.1,12703,0,7755,0,,/home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit2500_trial5.uuids,
oracle,load_feed,2500,6,3876.9618820006144,sim_user_56,,30,,,,,,,,,0.000,15.158,47.125,2435.713,62.1,12703,0,7755,0,,/home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit2500_trial6.uuids,
oracle,load_feed,2500,7,3898.3790279999084,sim_user_56,,30,,,,,,,,,0.000,15.188,50.305,2447.671,62.1,12703,0,7755,0,,/home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit2500_trial7.uuids,
oracle,load_feed,2500,8,3861.6995320007845,sim_user_56,,30,,,,,,,,,0.000,15.247,48.908,2414.581,62.1,12703,0,7755,0,,/home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit2500_trial8.uuids,
oracle,load_feed,2500,9,3842.078637000668,sim_user_56,,30,,,,,,,,,0.000,15.159,47.343,2386.625,62.1,12703,0,7755,0,,/home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit2500_trial9.uuids,
oracle,load_feed,2500,10,3843.8473099995463,sim_user_56,,30,,,,,,,,,0.000,16.224,49.430,2382.487,62.1,12703,0,7755,0,,/home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit2500_trial10.uuids,
oracle,load_feed,2500,11,3860.610698000528,sim_user_56,,30,,,,,,,,,0.000,15.150,50.100,2398.017,62.1,12703,0,7755,0,,/home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit2500_trial11.uuids,
oracle,load_feed,2500,12,3920.863184999689,sim_user_56,,30,,,,,,,,,0.000,15.413,51.868,2470.292,62.1,12703,0,7755,0,,/home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit2500_trial12.uuids,
oracle,load_feed,2500,13,3847.0981779992144,sim_user_56,,30,,,,,,,,,0.000,15.875,53.253,2392.341,62.1,12703,0,7755,0,,/home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit2500_trial13.uuids,
oracle,load_feed,2500,14,3801.820184000462,sim_user_56,,30,,,,,,,,,0.000,15.192,47.581,2349.607,62.1,12703,0,7755,0,,/home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit2500_trial14.uuids,
oracle,load_feed,2500,15,3898.4658869994746,sim_user_56,,30,,,,,,,,,0.000,11.706,46.143,2454.965,62.1,12703,0,7755,0,,/home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit2500_trial15.uuids,
oracle,load_feed,2500,16,3924.8317390010925,sim_user_56,,30,,,,,,,,,0.000,19.080,51.813,2482.656,62.1,12703,0,7755,0,,/home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit2500_trial16.uuids,
oracle,load_feed,2500,17,3881.564206998519,sim_user_56,,30,,,,,,,,,0.000,15.377,51.921,2415.622,62.1,12703,0,7755,0,,/home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit2500_trial17.uuids,
oracle,load_feed,2500,18,3865.680445998805,sim_user_56,,30,,,,,,,,,0.000,15.343,51.482,2416.332,62.1,12703,0,7755,0,,/home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit2500_trial18.uuids,
oracle,load_feed,2500,19,3842.3955900016153,sim_user_56,,30,,,,,,,,,0.000,15.053,48.764,2394.483,62.1,12703,0,7755,0,,/home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit2500_trial19.uuids,
oracle,load_feed,2500,20,3841.455584999494,sim_user_56,,30,,,,,,,,,0.000,15.304,49.228,2400.950,62.1,12703,0,7755,0,,/home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit2500_trial20.uuids,
oracle,load_feed,2500,21,3844.746455000859,sim_user_56,,30,,,,,,,,,0.000,15.172,46.541,2403.706,62.1,12703,0,7755,0,,/home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit2500_trial21.uuids,
oracle,load_feed,2500,22,3857.283514998926,sim_user_56,,30,,,,,,,,,0.000,15.097,46.991,2383.671,62.1,12703,0,7755,0,,/home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit2500_trial22.uuids,
oracle,load_feed,2500,23,3975.3853519996483,sim_user_56,,30,,,,,,,,,0.000,15.188,52.513,2473.256,62.1,12703,0,7755,0,,/home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit2500_trial23.uuids,
oracle,load_feed,2500,24,3945.7153109997307,sim_user_56,,30,,,,,,,,,0.000,15.145,47.121,2480.412,62.1,12703,0,7755,0,,/home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit2500_trial24.uuids,
oracle,load_feed,2500,25,3842.132063000463,sim_user_56,,30,,,,,,,,,0.000,15.180,48.058,2386.119,62.1,12703,0,7755,0,,/home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit2500_trial25.uuids,
